"Anio","ID region","Region","Provincia","Comuna","Número explotación","Número bloque","Tipo productor","Especie","Variedad","Anio plantacion","Metodo de riego","Numero de arboles","Superficie (ha)"
"2025","13","Región Metropolitana de Santiago","Maipo","Calera de Tango","726","2","Empresa","Nogal","Chandler","2019","Goteo","83","0,20"
"2025","13","Región Metropolitana de Santiago","Maipo","Calera de Tango","726","4","Empresa","Nogal","Chandler","2020","Goteo","83","0,20"
"2025","13","Región Metropolitana de Santiago","Talagante","Isla de Maipo","1046","1","Empresa","Nogal","Chandler","2014","Goteo","81","0,22"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","6534","3","Hombre","Nogal","Chandler","2002","Goteo","75","0,24"
"2025","13","Región Metropolitana de Santiago","Maipo","Buin","306","4","Hombre","Nogal","Chandler","2021","Goteo","114","0,24"
"2025","13","Región Metropolitana de Santiago","Maipo","Calera de Tango","14308","2","Hombre","Nogal","Chandler","2013","Goteo","100","0,25"
"2025","13","Región Metropolitana de Santiago","Maipo","Buin","464","1","Empresa","Nogal","Chandler","2010","Goteo","104","0,25"
"2025","13","Región Metropolitana de Santiago","Maipo","Calera de Tango","726","2","Empresa","Nogal","Chandler","2023","Goteo","104","0,25"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","19459","2","Hombre","Nogal","Chandler","2016","Goteo","139","0,25"
"2025","13","Región Metropolitana de Santiago","Cordillera","Pirque","511","4","Empresa","Nogal","Chandler","2012","Goteo","87","0,26"
"2025","13","Región Metropolitana de Santiago","Talagante","Talagante","1143","2","Empresa","Nogal","Chandler","2014","Goteo","104","0,26"
"2025","13","Región Metropolitana de Santiago","Maipo","Buin","3712","9","Empresa","Nogal","Chandler","2012","Goteo","56","0,27"
"2025","13","Región Metropolitana de Santiago","Talagante","Isla de Maipo","10477","1","Hombre","Nogal","Chandler","2010","Goteo","44","0,28"
"2025","13","Región Metropolitana de Santiago","Maipo","Paine","225","25","Empresa","Nogal","Chandler","2019","Goteo","70","0,28"
"2025","13","Región Metropolitana de Santiago","Maipo","Paine","3308","23","Empresa","Nogal","Chandler","2009","Goteo","80","0,28"
"2025","13","Región Metropolitana de Santiago","Melipilla","San Pedro","20478","2","Empresa","Nogal","Chandler","2019","Goteo","83","0,29"
"2025","13","Región Metropolitana de Santiago","Santiago","Maipú","5538","1","Empresa","Nogal","Chandler","2014","Goteo","125","0,30"
"2025","13","Región Metropolitana de Santiago","Cordillera","San Jose Maipo","7573","2","Hombre","Nogal","Chandler","2009","Goteo","385","0,30"
"2025","13","Región Metropolitana de Santiago","Maipo","Paine","10353","10","Empresa","Nogal","Chandler","2014","Goteo","55","0,31"
"2025","13","Región Metropolitana de Santiago","Cordillera","Pirque","511","2","Empresa","Nogal","Chandler","2013","Goteo","65","0,32"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","10947","2","Hombre","Nogal","Chandler","2005","Goteo","97","0,32"
"2025","13","Región Metropolitana de Santiago","Talagante","Talagante","19022","1","Hombre","Nogal","Chandler","2012","Goteo","107","0,32"
"2025","13","Región Metropolitana de Santiago","Talagante","Isla de Maipo","19312","5","Empresa","Nogal","Chandler","2015","Goteo","178","0,32"
"2025","13","Región Metropolitana de Santiago","Maipo","Paine","19281","3","Empresa","Nogal","Chandler","2014","Goteo","81","0,34"
"2025","13","Región Metropolitana de Santiago","Maipo","Buin","3436","5","Empresa","Nogal","Chandler","2002","Goteo","94","0,34"
"2025","13","Región Metropolitana de Santiago","Talagante","Talagante","19022","1","Hombre","Nogal","Chandler","2012","Goteo","136","0,34"
