"AGNO","RBD","DGV_RBD","NOM_RBD","COD_DEPE","COD_DEPE2","RURAL_RBD","COD_REG_RBD","NOM_REG_RBD_A","COD_PRO_RBD","COD_COM_RBD","NOM_COM_RBD","COD_DEPROV_RBD","NOM_DEPROV_RBD","ESTADO_ESTAB","MAT_SI_1","MAT_HOM_1","MAT_MUJ_1","MAT_ENS_1","MAT_SI_2","MAT_HOM_2","MAT_MUJ_2","MAT_ENS_2","MAT_HOM_3","MAT_MUJ_3","MAT_ENS_3","MAT_SI_4","MAT_HOM_4","MAT_MUJ_4","MAT_ENS_4","MAT_SI_5","MAT_HOM_5","MAT_MUJ_5","MAT_ENS_5","MAT_SI_6","MAT_HOM_6","MAT_MUJ_6","MAT_ENS_6","MAT_HOM_7","MAT_MUJ_7","MAT_ENS_7","MAT_HOM_8","MAT_MUJ_8","MAT_ENS_8","MAT_HOM_TOT","MAT_MUJ_TOT","MAT_SI_TOT","MAT_TOTAL","MAT_CHI","MAT_EXT","MAT_NAC","MAT_NO_ETNIA","MAT_ETNIA","MAT_SI_INT","MAT_HOM_INT","MAT_MUJ_INT","MAT_INT_TOTAL","CUR_SIM_01","CUR_SIM_02","CUR_SIM_03","CUR_SIM_04","CUR_SIM_05","CUR_SIM_06","CUR_SIM_07","CUR_SIM_08","CUR_SIM_TOT","CUR_COMB_01","CUR_COMB_02","CUR_COMB_TOT","SLEP","NOMBRE_SLEP"
2025,1780,9,"COLEGIO PATMOS                                                                                                                                                                                                                                                 ",4,3,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,12,10,22,0,97,88,185,0,0,0,0,0,0,0,0,72,77,149,0,0,0,0,0,0,0,0,0,0,181,175,0,356,351,5,0,336,20,0,0,0,0,2,8,0,0,5,0,0,0,15,0,0,0,26,"COSTA CENTRAL"
2025,1781,7,"ALLIANCE FRANCAISE DE VALPARAISO                                                                                                                                                                                                                               ",4,3,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,67,60,127,0,269,293,562,0,0,0,0,0,0,0,0,102,115,217,0,0,0,0,0,0,0,0,0,0,438,468,0,906,884,22,0,901,5,0,0,0,0,8,28,0,0,10,0,0,0,46,0,0,0,26,"COSTA CENTRAL"
2025,1783,3,"COLEGIO BRITANICO ST. MARGARET`S S.A.                                                                                                                                                                                                                          ",4,3,0,5,"VALPO",51,5103,"CONCÓN             ",53,"VALPARAÍSO            ",1,0,0,129,129,0,0,552,552,0,0,0,0,0,0,0,0,0,269,269,0,0,0,0,0,0,0,0,0,0,0,950,0,950,926,24,0,944,6,0,0,0,0,6,25,0,0,16,0,0,0,47,0,0,0,26,"COSTA CENTRAL"
2025,1786,8,"COLEGIO INGLES SAN PATRICIO                                                                                                                                                                                                                                    ",3,2,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"COSTA CENTRAL"
2025,1787,6,"HEBREO DR. JAIM WEITZMAN                                                                                                                                                                                                                                       ",4,3,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,11,7,18,0,65,73,138,0,0,0,0,0,0,0,0,36,45,81,0,0,0,0,0,0,0,0,0,0,112,125,0,237,235,2,0,222,15,0,0,0,0,2,8,0,0,4,0,0,0,14,0,0,0,26,"COSTA CENTRAL"
2025,1788,4,"THE MACKAY SCHOOL                                                                                                                                                                                                                                              ",4,3,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,149,0,149,0,437,0,437,0,0,0,0,0,0,0,0,223,0,223,0,0,0,0,0,0,0,0,0,0,809,0,0,809,806,3,0,806,3,0,0,0,0,8,23,0,0,11,0,0,0,42,0,0,0,26,"COSTA CENTRAL"
2025,1789,2,"COLEGIO PROFESOR HUGUET                                                                                                                                                                                                                                        ",4,3,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,14,7,21,0,74,73,147,0,0,0,0,0,0,0,0,40,53,93,0,0,0,0,0,0,0,0,0,0,128,133,0,261,258,3,0,256,5,0,0,0,0,3,8,0,0,4,0,0,0,15,0,0,0,26,"COSTA CENTRAL"
2025,1790,6,"PAN AMERICAN COLLEGE                                                                                                                                                                                                                                           ",4,3,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"COSTA CENTRAL"
2025,1791,4,"SAINT PAUL´S SCHOOL                                                                                                                                                                                                                                           ",4,3,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,19,22,41,0,200,191,391,0,0,0,0,0,0,0,0,96,119,215,0,0,0,0,0,0,0,0,0,0,315,332,0,647,643,4,0,609,38,0,0,0,0,3,16,0,0,8,0,0,0,27,0,0,0,26,"COSTA CENTRAL"
2025,1792,2,"COLEGIO DE LOS SAGRADOS CORAZONES (ALVAREZ)                                                                                                                                                                                                                    ",4,3,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,18,20,38,0,133,166,299,0,0,0,0,0,0,0,0,93,114,207,0,0,0,0,0,0,0,0,0,0,244,300,0,544,538,6,0,531,13,0,0,0,0,3,15,0,0,8,0,0,0,26,0,0,0,26,"COSTA CENTRAL"
2025,1793,0,"COLEGIO DEL SAGRADO CORAZON-REÑACA                                                                                                                                                                                                                            ",4,3,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"COSTA CENTRAL"
2025,1794,9,"COLEGIO SSCC PADRES FRANCESES                                                                                                                                                                                                                                  ",4,3,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"COSTA CENTRAL"
2025,1795,7,"COLEGIO SAN IGNACIO                                                                                                                                                                                                                                            ",3,2,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,45,46,91,0,240,218,458,0,0,0,0,0,0,0,0,115,125,240,0,0,0,0,0,0,0,0,0,0,400,389,0,789,786,3,0,748,41,0,84,63,147,5,16,0,0,8,0,0,0,29,0,0,0,26,"COSTA CENTRAL"
2025,1796,5,"COLEGIO COMPAÑIA DE MARIA                                                                                                                                                                                                                                     ",4,3,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,19,22,41,0,103,120,223,0,0,0,0,0,0,0,0,67,65,132,0,0,0,0,0,0,0,0,0,0,189,207,0,396,387,9,0,329,67,0,0,0,0,3,8,0,0,4,0,0,0,15,0,0,0,26,"COSTA CENTRAL"
2025,1800,7,"CASTLE COLLEGE                                                                                                                                                                                                                                                 ",4,3,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"COSTA CENTRAL"
2025,1801,5,"COLEGIO MARIA AUXILIADORA                                                                                                                                                                                                                                      ",3,2,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,47,52,99,0,203,292,495,0,0,0,0,0,0,0,0,93,151,244,0,0,0,0,0,0,0,0,0,0,343,495,0,838,830,8,0,798,40,0,0,0,0,4,16,0,0,8,0,0,0,28,0,0,0,26,"COSTA CENTRAL"
2025,1803,1,"ESC. STA. TERESITA DE JESUS                                                                                                                                                                                                                                    ",4,3,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"COSTA CENTRAL"
2025,1806,6,"COL. LITTLE FLOWERS OF WISDOM                                                                                                                                                                                                                                  ",4,3,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"COSTA CENTRAL"
2025,1807,4,"ESCUELA JEFFERSON SCHOOL                                                                                                                                                                                                                                       ",3,2,0,5,"VALPO",58,5801,"QUILPUÉ            ",53,"VALPARAÍSO            ",1,0,7,1,8,0,73,80,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,81,0,161,143,18,0,145,16,0,32,18,50,2,8,0,0,0,0,0,0,10,0,0,0,,
2025,1809,0,"COLEGIO PARTICULAR ARANDA                                                                                                                                                                                                                                      ",4,3,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"COSTA CENTRAL"
